,w_star,method,gamma,N,expected_return,wasserstein_distance
54,"[0.00000000e+00 2.95208964e-12 5.14957921e-01 4.85042079e-01
 5.55812282e-12]",Bayesian,0.1,50,28.79329074282882,0.1297647392478932
55,[0.         0.         0.68607325 0.31392675 0.        ],Bayesian,0.1,100,28.830936114999997,0.06131860764959525
56,"[3.56312406e-13 1.11244694e-12 2.35698925e-01 7.64301075e-01
 2.03790466e-12]",Bayesian,0.1,200,28.731853763586624,0.03002747764889392
57,[0.         0.         0.06090334 0.93909666 0.        ],Bayesian,1.0,50,28.693398734800002,0.024361336000001163
58,"[0.00000000e+00 1.02695630e-15 9.71445147e-16 1.00000000e+00
 4.44089210e-15]",Bayesian,1.0,100,28.68000000000016,2.3758772735326532e-15
59,"[0.00000000e+00 0.00000000e+00 1.58206781e-15 1.00000000e+00
 2.05391260e-15]",Bayesian,1.0,200,28.680000000000096,1.815214646132653e-15
60,"[2.35200259e-01 7.28583860e-17 1.38777878e-16 7.64799741e-01
 0.00000000e+00]",Bayesian,5.0,50,28.07553533437001,0.03218637157618272
61,"[0.00000000e+00 0.00000000e+00 6.59194921e-17 1.00000000e+00
 1.04083409e-17]",Bayesian,5.0,100,28.680000000000003,0.061893732023817316
62,[0.20511876 0.         0.         0.79488124 0.        ],Bayesian,5.0,200,28.152844786800003,0.020153771976182684
63,"[2.88219205e-13 0.00000000e+00 9.10754359e-01 8.92456414e-02
 0.00000000e+00]",Bayesian,0.1,50,28.880365970459525,0.028553835884364862
64,"[6.87033763e-13 2.77791679e-12 0.00000000e+00 1.00000000e+00
 5.53479484e-12]",Bayesian,0.1,100,28.6800000002218,0.06425209236262255
65,[0.         0.         0.45164405 0.54835595 0.        ],Bayesian,0.1,200,28.779361691,0.11640552764959525
66,[0.         0.         0.06232744 0.93767256 0.        ],Bayesian,1.0,50,28.6937120368,0.02493097600000117
67,"[0.00000000e+00 1.11022302e-16 8.32667268e-16 1.00000000e+00
 2.27595720e-15]",Bayesian,1.0,100,28.68000000000008,1.731947918132653e-15
68,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 7.77156117e-15]",Bayesian,1.0,200,28.680000000000188,2.7200464098564142e-15
69,"[0.00000000e+00 3.46944695e-16 6.93889390e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50,28.68000000000001,0.06189373202381726
70,"[3.72557313e-01 1.19262239e-17 3.51281504e-17 6.27442687e-01
 0.00000000e+00]",Bayesian,5.0,100,27.722527705590004,0.08712919317618267
71,"[2.08166817e-17 0.00000000e+00 5.86228983e-04 9.99413771e-01
 5.72458747e-17]",Bayesian,5.0,200,28.6801289698887,0.06165924042721731
72,"[1.13825616e-12 4.25315339e-12 0.00000000e+00 1.00000000e+00
 7.78455078e-12]",Bayesian,0.1,50,28.680000000325172,0.06425209236178732
73,[0.        0.        0.1827017 0.8172983 0.       ],Bayesian,0.1,100,28.720194374000002,0.008828587649595243
74,"[2.62372139e-11 2.87917186e-11 1.73444246e-01 8.26555754e-01
 3.52426954e-11]",Bayesian,0.1,200,28.718157736383063,0.0051256060536318164
