,w_star,method,gamma,N,expected_return
117,"[2.77555756e-16 5.34294831e-16 3.26128013e-16 1.00000000e+00
 9.02056208e-17]",SAA,0.1,50,0.028680000000000035
118,"[5.82867088e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.20417043e-17]",SAA,0.1,100,0.028680000000000015
119,"[1.95679130e-16 2.93179959e-16 9.43689571e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.02868000000000004
120,"[1.51980506e-16 9.81881895e-17 1.00000000e+00 2.49800181e-16
 1.02569567e-16]",SAA,0.1,50,0.028900000000000016
121,"[1.97366792e-16 0.00000000e+00 6.38378239e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000025
122,[0. 0. 1. 0. 0.],SAA,0.1,200,0.0289
123,"[1.07552856e-16 2.16840434e-16 0.00000000e+00 1.00000000e+00
 2.04697370e-16]",SAA,0.1,50,0.02868000000000001
124,"[8.92540619e-17 7.71927201e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000004
125,"[0.00000000e+00 5.89805982e-17 1.52655666e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000008
126,"[0.00000000e+00 7.25695957e-18 1.00000000e+00 0.00000000e+00
 8.75639440e-17]",SAA,0.1,50,0.028900000000000002
127,"[0.00000000e+00 0.00000000e+00 2.77555756e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000008
128,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 3.26128013e-16
 0.00000000e+00]",SAA,0.1,200,0.02890000000000001
129,"[0.00000000e+00 3.93520365e-16 1.00000000e+00 4.16333634e-16
 1.72965547e-16]",SAA,0.1,50,0.028900000000000023
130,[0.0000000e+00 0.0000000e+00 1.0000000e+00 4.4408921e-16 0.0000000e+00],SAA,0.1,100,0.028900000000000012
131,"[0.00000000e+00 0.00000000e+00 1.31838984e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000004
132,"[0.00000000e+00 7.05318534e-17 1.00000000e+00 0.00000000e+00
 1.11268799e-16]",SAA,0.1,50,0.028900000000000006
133,"[5.41233725e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 9.75781955e-18]",SAA,0.1,100,0.028680000000000015
134,"[0.00000000e+00 0.00000000e+00 1.49186219e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000004
135,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 5.89805982e-17]",SAA,0.1,50,0.0289
136,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 3.73626095e-17]",SAA,0.1,100,0.0289
137,"[0.00000000e+00 0.00000000e+00 5.55111512e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000018
138,"[0.00000000e+00 0.00000000e+00 2.02962647e-16 1.00000000e+00
 2.08166817e-17]",SAA,0.1,50,0.028680000000000008
139,"[4.30211422e-16 3.60822483e-16 3.03576608e-16 1.00000000e+00
 1.73472348e-16]",SAA,0.1,100,0.028680000000000032
140,[0. 0. 0. 1. 0.],SAA,0.1,200,0.02868
141,"[0.00000000e+00 2.77555756e-17 1.38777878e-17 1.00000000e+00
 1.38777878e-16]",SAA,0.1,50,0.028680000000000004
142,"[2.70922686e-16 1.68586697e-17 1.00000000e+00 0.00000000e+00
 2.14519352e-16]",SAA,0.1,100,0.02890000000000001
143,"[2.63677968e-16 4.96130914e-16 1.11022302e-16 1.00000000e+00
 3.95516953e-16]",SAA,0.1,200,0.028680000000000035
144,[0. 0. 1. 0. 0.],SAA,0.1,50,0.0289
145,"[0.00000000e+00 7.97972799e-17 9.29085371e-01 7.09146294e-02
 0.00000000e+00]",SAA,0.1,100,0.028884398793092
146,[0. 0. 0. 1. 0.],SAA,0.1,200,0.02868
147,[0.000000e+00 5.563793e-17 0.000000e+00 1.000000e+00 0.000000e+00],SAA,0.1,50,0.02868
148,[0. 0. 1. 0. 0.],SAA,0.1,100,0.0289
149,"[3.15073322e-16 1.67237763e-16 1.00000000e+00 5.55111512e-17
 0.00000000e+00]",SAA,0.1,200,0.028900000000000012
150,"[0.00000000e+00 1.83750672e-16 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028900000000000002
151,"[0.00000000e+00 4.63528469e-16 7.14986567e-02 9.28501343e-01
 2.76277984e-17]",SAA,0.1,100,0.02869572969587001
152,"[3.36293726e-16 1.65943628e-16 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028900000000000012
153,"[0.00000000e+00 2.84494650e-16 3.46944695e-17 1.00000000e+00
 7.63278329e-17]",SAA,0.1,50,0.02868000000000001
154,"[1.00000000e+00 1.11022302e-15 1.63931368e-16 0.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.026110000000000032
155,"[1.12075784e-16 5.61589070e-17 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028900000000000002
156,"[1.09287579e-16 0.00000000e+00 1.48318857e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028680000000000008
157,"[0.00000000e+00 6.93889390e-18 2.42861287e-17 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.02868
158,[0. 0. 0. 1. 0.],SAA,0.1,200,0.02868
159,[0. 0. 1. 0. 0.],SAA,0.1,50,0.0289
160,"[7.23292561e-16 2.58844146e-16 7.67199486e-01 2.32800514e-01
 3.43058687e-16]",SAA,0.1,100,0.02884878388692003
161,"[0.00000000e+00 1.93335589e-16 1.00000000e+00 4.71844785e-16
 8.77444765e-17]",SAA,0.1,200,0.02890000000000002
162,"[0.00000000e+00 0.00000000e+00 1.66533454e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028680000000000004
163,"[0.00000000e+00 0.00000000e+00 1.42247325e-16 1.00000000e+00
 3.26128013e-16]",SAA,0.1,100,0.02868000000000001
164,[5.6898930e-16 6.9388939e-18 0.0000000e+00 1.0000000e+00 0.0000000e+00],SAA,0.1,200,0.028680000000000015
165,"[8.04911693e-16 0.00000000e+00 8.76035355e-17 1.00000000e+00
 2.15105711e-16]",SAA,0.1,50,0.02868000000000003
166,"[0.00000000e+00 1.14491749e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000004
167,"[1.38777878e-17 1.02348685e-16 2.42861287e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.02868000000000001
168,"[2.42047080e-16 0.00000000e+00 1.00000000e+00 0.00000000e+00
 3.65700791e-16]",SAA,0.1,50,0.028900000000000016
169,"[5.55111512e-17 1.42247325e-16 1.90819582e-17 1.00000000e+00
 2.55004351e-16]",SAA,0.1,100,0.028680000000000015
170,"[9.68993158e-17 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.26598730e-16]",SAA,0.1,200,0.028900000000000006
171,"[0.00000000e+00 3.44210579e-17 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.0289
172,"[1.45716772e-16 0.00000000e+00 5.55111512e-17 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000008
173,"[1.00000000e+00 1.76941795e-16 0.00000000e+00 1.38777878e-16
 0.00000000e+00]",SAA,0.1,200,0.026110000000000008
174,[0. 0. 1. 0. 0.],SAA,0.1,50,0.0289
175,"[0.00000000e+00 0.00000000e+00 8.84708973e-17 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000004
176,"[0.00000000e+00 1.52655666e-16 1.94289029e-16 1.00000000e+00
 2.15539392e-16]",SAA,0.1,200,0.028680000000000018
177,"[1.00000000e+00 0.00000000e+00 2.91433544e-16 0.00000000e+00
 4.16333634e-17]",SAA,0.1,50,0.026110000000000008
178,"[1.73777393e-16 4.57905366e-17 1.00000000e+00 1.94289029e-16
 3.77991828e-16]",SAA,0.1,100,0.028900000000000023
179,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 3.12250226e-16
 0.00000000e+00]",SAA,0.1,200,0.02890000000000001
180,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.07552856e-16]",SAA,0.1,50,0.028680000000000004
181,"[0.00000000e+00 2.72772422e-16 1.00000000e+00 1.31838984e-16
 1.80567361e-16]",SAA,0.1,100,0.028900000000000012
182,[0. 0. 0. 1. 0.],SAA,0.1,200,0.02868
183,[0. 0. 0. 1. 0.],SAA,0.1,50,0.02868
184,"[4.30211422e-16 5.02202446e-16 1.00000000e+00 3.33066907e-16
 0.00000000e+00]",SAA,0.1,100,0.028900000000000033
185,"[0.00000000e+00 0.00000000e+00 4.71844785e-16 1.00000000e+00
 6.24500451e-17]",SAA,0.1,200,0.028680000000000015
186,[0.0000000e+00 0.0000000e+00 1.0000000e+00 2.9692125e-17 0.0000000e+00],SAA,0.1,50,0.0289
187,"[1.53626786e-02 3.92047506e-16 7.54519239e-01 2.30118082e-01
 2.51534904e-17]",SAA,0.1,100,0.028806512137106006
188,"[2.77013849e-16 0.00000000e+00 9.58364227e-01 4.16357727e-02
 0.00000000e+00]",SAA,0.1,200,0.028890840121336008
189,[0. 0. 1. 0. 0.],SAA,0.1,50,0.0289
190,"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.74700271e-16]",SAA,0.1,100,0.02611000000000001
191,"[1.24057588e-16 3.03404338e-16 1.00000000e+00 0.00000000e+00
 2.54674596e-16]",SAA,0.1,200,0.028900000000000016
192,"[0.00000000e+00 2.01029782e-16 8.32667268e-17 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028680000000000008
193,"[3.35142111e-16 2.39046157e-16 1.00000000e+00 1.11022302e-16
 0.00000000e+00]",SAA,0.1,100,0.028900000000000016
194,"[1.51275755e-16 2.54635904e-17 1.37408458e-01 8.62591542e-01
 1.13096606e-16]",SAA,0.1,200,0.028710229860760005
195,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 1.36002321e-15
 0.00000000e+00]",SAA,0.1,50,0.028900000000000037
196,"[0.00000000e+00 1.47451495e-17 7.97972799e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000025
197,[0. 0. 0. 1. 0.],SAA,0.1,200,0.02868
198,"[4.02455846e-16 1.38777878e-17 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.02890000000000001
199,[0.0000000e+00 0.0000000e+00 1.0000000e+00 6.9388939e-17 0.0000000e+00],SAA,0.1,100,0.028900000000000002
200,"[3.47554781e-16 7.55217350e-16 1.00000000e+00 1.11022302e-16
 7.70869668e-17]",SAA,0.1,200,0.028900000000000033
201,"[1.00000000e+00 1.44849410e-16 0.00000000e+00 4.09394740e-16
 3.81639165e-16]",SAA,0.1,50,0.026110000000000026
202,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 2.77555756e-17]",SAA,0.1,100,0.0289
