,w_star,method,function,N,expected_cost
54,-0.10167373690387414,Beta_Bayesian,0,25,-0.08972214795493605
55,-0.12720462195007792,SAA,0,25,-0.10252107635741305
56,-0.24241092348565096,Bagging,0,50,-0.11169430029069154
57,-0.2769047843271462,MLE,0,50,-0.09896887788817589
58,-0.23396558456333882,Beta_Bayesian,0,50,-0.11372338448948632
59,-0.2475209099553059,SAA,0,50,-0.11025902612467314
60,-0.2177310946437644,Bagging,0,10,-0.11642339596088591
61,-0.3628903051614915,MLE,0,10,-0.03620737698008658
62,-0.20023121060269933,Beta_Bayesian,0,10,-0.11756501567314066
63,-0.23488133736093142,SAA,0,10,-0.11352402498700266
64,-0.2183831567954676,Bagging,0,25,-0.11634539363900485
65,-0.19488457064750683,MLE,0,25,-0.11754780689564955
66,-0.21833271452201727,Beta_Bayesian,0,25,-0.11635151867671312
67,-0.22790709501058293,SAA,0,25,-0.11491571573583488
68,-0.18768596269864013,Bagging,0,50,-0.1172540488154704
69,-0.262074894519495,MLE,0,50,-0.10531365535472889
70,-0.2043571484011522,Beta_Bayesian,0,50,-0.11746119128055439
71,-0.1973096543540906,SAA,0,50,-0.11757684096822622
72,-0.17537053845574394,Bagging,0,10,-0.11603141016827062
73,-0.5955983583725895,MLE,0,10,0.3558594413300453
74,-0.13561242252558542,Beta_Bayesian,0,10,-0.10588101811262948
75,-0.1930998229642592,SAA,0,10,-0.11750392671240178
76,-0.17871415866515228,Bagging,0,25,-0.11645323798679572
77,-0.18699852507683196,MLE,0,25,-0.1172097528227984
78,-0.17386475382876218,Beta_Bayesian,0,25,-0.11581956259470501
79,-0.18263794485719326,SAA,0,25,-0.11686281795750152
80,-0.09402358786637588,Bagging,0,50,-0.08512646571419016
81,-0.09883285093056134,MLE,0,50,-0.08805647628114281
82,-0.08200435827012469,Beta_Bayesian,0,50,-0.07719778940998431
83,-0.09713825091857715,SAA,0,50,-0.08703986749700762
84,0.03316886987398884,Bagging,0,10,0.04267098956936684
85,0.05525113092886999,MLE,0,10,0.07473497588324184
86,0.0556252764590741,Beta_Bayesian,0,10,0.07530341898957614
87,0.025443892267414094,SAA,0,10,0.03214405498076971
88,-0.006255019874219853,Bagging,0,25,-0.007308066488608749
89,-0.08245005088896604,MLE,0,25,-0.07750725315072768
90,0.011472956221377641,Beta_Bayesian,0,25,0.01401387327922115
91,-0.005751367719433303,SAA,0,25,-0.00672830263973056
92,-0.18655302081144803,Bagging,0,50,-0.11717953382910232
93,-0.20323867460543402,MLE,0,50,-0.11749941514139682
94,-0.19395185499119916,Beta_Bayesian,0,50,-0.11752725610190691
95,-0.1888226215997221,SAA,0,50,-0.11732107859923792
96,-0.23716793762075397,Bagging,0,10,-0.11300429158985971
97,-0.3387472986047564,MLE,0,10,-0.05830317581337778
98,-0.20227150350557122,Beta_Bayesian,0,10,-0.1175264242184195
99,-0.23947777047006086,SAA,0,10,-0.11244746611117444
100,-0.19052860078069978,Bagging,0,25,-0.11740715132702763
