,w_star,method,gamma,N,mean_variance,expected_return
38,"[2.13885833e-15 2.19298479e-16 1.82351071e-01 5.25123033e-01
 2.92525896e-01]",SAA,10,100,1.5203876288958647,27.40375070362006
39,[0.05890167 0.16692593 0.14901512 0.43651463 0.18864265],bagging,10,100,1.4275287657090159,27.1332811324
40,"[1.80474205e-01 0.00000000e+00 1.24032729e-16 8.19525795e-01
 1.23599048e-17]",SAA,10,200,1.0055378022892763,28.21618129315
41,"[2.39845024e-01 3.31950046e-04 4.53998526e-03 7.54009844e-01
 1.27319615e-03]",bagging,10,200,0.9983659764855051,28.05771582014066
42,"[3.37088045e-01 6.62911955e-01 0.00000000e+00 9.71445147e-17
 6.93889390e-17]",SAA,10,50,1.2551801529933537,25.513379240500004
43,[0.45020741 0.43566992 0.01024033 0.05793446 0.04594788],bagging,10,50,1.2001105662123543,25.8066797465
44,"[5.02414200e-01 0.00000000e+00 6.28620420e-16 3.68741639e-01
 1.28844161e-01]",SAA,10,100,1.0297204336903825,26.80899678150002
45,[0.39279257 0.04346543 0.00074414 0.35076447 0.21223338],bagging,10,100,1.0793576533311926,26.564811266999996
46,"[0.00000000e+00 1.57180769e-02 1.54795058e-17 9.84281923e-01
 0.00000000e+00]",SAA,10,200,1.0613222134034181,28.625458270289002
47,"[6.00553981e-02 6.62714477e-02 1.60118985e-04 8.65115586e-01
 8.39744930e-03]",bagging,10,200,1.0432127662468522,28.2579424101285
48,"[8.65818432e-01 4.53196508e-17 1.51788304e-18 1.34181568e-01
 0.00000000e+00]",SAA,10,50,1.0480597873516762,26.45484662976
49,[0.60295398 0.00567005 0.04163834 0.1843861  0.16535153],bagging,10,50,1.1386364623921765,26.3758117477
50,"[8.32667268e-17 3.06178694e-16 0.00000000e+00 1.00000000e+00
 1.19262239e-16]",SAA,10,100,1.0620000000000025,28.680000000000014
51,[0.10266836 0.0187247  0.00235526 0.85098326 0.02526844],bagging,10,100,1.035163772542663,28.2379783566
52,"[5.59758089e-01 7.45931095e-17 0.00000000e+00 4.40241911e-01
 4.50160742e-16]",SAA,10,200,0.9788060953820068,27.24142171127001
53,"[5.63271221e-01 5.33624572e-04 2.36451811e-03 4.30846818e-01
 2.98381824e-03]",bagging,10,200,0.9835902285537781,27.217634294432322
54,[0.41696536 0.         0.         0.58303464 0.        ],SAA,10,50,0.9742479724934898,27.6083990248
55,"[3.86045259e-01 1.64812197e-02 3.24577304e-02 5.65015791e-01
 9.33439588e-17]",bagging,10,50,1.0216107851840217,27.637814555567
56,"[4.46142688e-01 8.77444818e-16 0.00000000e+00 5.53857312e-01
 3.15719673e-16]",SAA,10,100,0.9737439570501962,27.533413291840027
57,"[4.40589208e-01 7.81448691e-04 2.02306671e-15 4.52974920e-01
 1.05654423e-01]",bagging,10,100,1.015365960373615,27.069529196120172
58,"[0.00000000e+00 0.00000000e+00 4.84889906e-13 1.00000000e+00
 0.00000000e+00]",SAA,10,200,1.0620000000028442,28.68000000001401
59,"[1.01298132e-01 5.46400601e-04 2.57944173e-13 8.94741536e-01
 3.41393191e-03]",bagging,10,200,1.027567597265635,28.402405111742464
60,"[4.63216504e-01 0.00000000e+00 0.00000000e+00 5.36783496e-01
 1.21430643e-16]",True,10,200,0.9737909532432663,27.489533584720004
61,"[3.38096243e-01 3.29727565e-15 0.00000000e+00 3.92571275e-01
 2.69332482e-01]",SAA,20,50,2.4198766169527057,26.59909648649008
62,[0.36830981 0.06793804 0.00066815 0.38358142 0.17950258],bagging,20,50,2.404562495987771,26.6900841725
63,[0.52897743 0.30433609 0.         0.16668649 0.        ],SAA,20,100,2.4129579469750797,26.2644820594
64,[0.44746308 0.23123765 0.00092121 0.2205559  0.09982215],bagging,20,100,2.4186815457300206,26.278627943300002
65,"[5.38538178e-01 2.13739340e-01 8.24400227e-17 1.17289170e-01
 1.30433311e-01]",SAA,20,200,2.4318228725401885,25.967331444560003
66,[0.47599478 0.12940957 0.00120211 0.16366381 0.22972972],bagging,20,200,2.4378388753638167,25.9741226449
67,[0.0000000e+00 0.0000000e+00 1.9434454e-13 1.0000000e+00 0.0000000e+00],SAA,20,50,2.496000000001421,28.680000000005617
68,[0.03046271 0.00423768 0.00446082 0.9516681  0.00917069],bagging,20,50,2.483594182165037,28.5467193611
69,"[4.93209689e-01 9.92261828e-16 0.00000000e+00 1.88091004e-01
 3.18699307e-01]",SAA,20,100,2.43082541521899,25.978304217770024
70,[0.36991551 0.00212873 0.0432732  0.35489143 0.22979112],bagging,20,100,2.478837228218927,26.6973902234
71,"[1.00000000e+00 8.28330460e-17 1.63064007e-16 0.00000000e+00
 0.00000000e+00]",SAA,20,200,2.409500000000002,26.110000000000007
72,"[8.72624655e-01 1.38830842e-04 2.46398634e-03 6.23211355e-02
 6.24513928e-02]",bagging,20,200,2.3970490398167232,26.156383716846822
73,[0.72379307 0.         0.         0.27620693 0.        ],SAA,20,50,2.346827984876951,26.8198518101
74,[0.61303156 0.03550705 0.00447621 0.32276737 0.02421781],bagging,20,50,2.3588823629504017,26.8733040485
75,"[0.00000000e+00 0.00000000e+00 1.21754888e-16 8.40142165e-01
 1.59857835e-01]",SAA,20,100,2.4965732692937275,27.960639742500007
76,[0.0551461  0.00198088 0.00899827 0.76218775 0.171687  ],bagging,20,100,2.4849155121568307,27.7607889888
77,"[5.24117353e-01 2.55871713e-17 1.60461922e-17 4.75882647e-01
 0.00000000e+00]",SAA,20,200,2.342665701993409,27.33301840279
78,"[4.88465246e-01 2.54136274e-02 6.71445007e-05 4.22377531e-01
 6.36764505e-02]",bagging,20,200,2.3601276342782023,27.04992975805423
79,"[1.13353771e-13 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.11050058e-13]",SAA,20,50,2.4960000000013762,28.680000000005645
80,"[4.51150347e-02 5.26505215e-03 1.01128411e-04 9.49518785e-01
 3.95388543e-13]",bagging,20,50,2.4725296118554265,28.54580688560596
81,"[7.74103004e-14 5.15698595e-14 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,20,100,2.496000000000777,28.68000000000332
82,[0.11490735 0.01842552 0.00334394 0.85173735 0.01158584],bagging,20,100,2.442936641369248,28.269350942899997
83,"[7.15611355e-01 4.34114550e-16 0.00000000e+00 0.00000000e+00
 2.84388645e-01]",SAA,20,200,2.4450821110188574,25.56112991515001
84,[0.50553432 0.01231969 0.00171915 0.14541403 0.33501281],bagging,20,200,2.445030830911739,25.8308480413
85,"[1.42943541e-14 0.00000000e+00 4.18522005e-14 7.83174690e-01
 2.16825310e-01]",SAA,20,50,2.501458965836852,27.704286105001582
86,"[1.77996233e-01 1.08252539e-02 1.06649687e-13 4.66683494e-01
 3.44495019e-01]",bagging,20,50,2.4694005857599546,26.63475846179208
87,"[1.89320781e-13 3.16413562e-14 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,20,100,2.4960000000013145,28.68000000000574
88,"[1.67221870e-01 1.53549156e-14 5.40906112e-03 6.50736840e-01
 1.76632229e-01]",bagging,20,100,2.442324896408376,27.456584760488386
89,"[9.55784800e-01 5.89805982e-17 7.80625564e-18 4.42152002e-02
 0.00000000e+00]",SAA,20,200,2.39502594239481,26.223633069736
90,[0.8682     0.0101491  0.01780133 0.09168874 0.01216083],bagging,20,200,2.4076071573853954,26.362701180600002
91,"[0.00000000e+00 1.16573418e-15 0.00000000e+00 1.00000000e+00
 6.93889390e-16]",SAA,20,50,2.496000000000012,28.680000000000046
92,[0.28556209 0.0088233  0.01780377 0.68222076 0.00559009],bagging,20,50,2.404195802866769,27.894250288899997
93,"[2.75232294e-01 0.00000000e+00 1.49576532e-15 7.24767706e-01
 0.00000000e+00]",SAA,20,100,2.385817792448008,27.972653004420042
94,"[2.89606663e-01 3.85172988e-04 2.83758396e-14 6.56723084e-01
 5.32850804e-02]",bagging,20,100,2.386323895938654,27.694591475150297
95,[0.67584533 0.32415467 0.         0.         0.        ],SAA,20,200,2.4509390290134974,25.818260797
96,[0.62519166 0.27496978 0.00740641 0.06039363 0.03203852],bagging,20,200,2.444526414254322,25.9765683674
97,"[1.98864979e-01 0.00000000e+00 3.53883589e-16 8.01135021e-01
 0.00000000e+00]",SAA,20,50,2.4098136155943686,28.16891700397001
98,[0.2666149  0.00635908 0.00223613 0.71414358 0.01064631],bagging,20,50,2.3911199073218343,27.925317253
99,"[6.66578467e-01 0.00000000e+00 5.03069808e-16 3.33421533e-01
 0.00000000e+00]",SAA,20,100,2.3421060135987775,26.966893339810014
100,"[6.37484990e-01 3.79283407e-03 4.19984674e-04 3.47491968e-01
 1.08102237e-02]",bagging,20,100,2.3444101518059606,26.9799488441893
101,"[0.00000000e+00 1.13973739e-16 2.33146808e-17 7.41131208e-01
 2.58868792e-01]",SAA,20,200,2.5066424253637143,27.515090436
102,[0.12192531 0.08866429 0.01586768 0.59225213 0.18129059],bagging,20,200,2.474112329473872,27.2466701016
103,"[2.47761762e-01 2.34187669e-17 1.66924057e-01 5.85314182e-01
 0.00000000e+00]",SAA,20,50,2.684967785896228,28.07997559288
104,[0.23527808 0.0095698  0.14804758 0.4799784  0.12712614],bagging,20,50,2.685952989078064,27.502630966
105,"[6.23565128e-01 3.76434872e-01 2.77555756e-17 1.24032729e-16
 0.00000000e+00]",SAA,20,100,2.460830239095798,25.771208615200003
106,[0.54615886 0.36232672 0.02912809 0.06053669 0.00184964],bagging,20,100,2.4951584472126065,26.0171828112
107,"[3.19022332e-01 4.64905892e-16 0.00000000e+00 6.80977668e-01
 4.54497551e-16]",SAA,20,200,2.374336581046279,27.860112606760023
108,"[2.98057398e-01 4.46808321e-04 1.60333531e-14 6.74162933e-01
 2.73328605e-02]",bagging,20,200,2.3817347139620724,27.78944418488287
109,"[8.87243053e-02 5.05272907e-14 0.00000000e+00 9.11275695e-01
 4.67612060e-14]",SAA,20,50,2.4533163023257814,28.451978543985405
110,[0.32134067 0.00074362 0.00332994 0.63900707 0.0355787 ],bagging,20,50,2.3809509298631584,27.6922025535
111,"[3.91029682e-01 5.80698684e-16 0.00000000e+00 0.00000000e+00
 6.08970318e-01]",SAA,20,100,2.563966688864192,24.934687286260015
112,[0.37203845 0.13149382 0.02310107 0.042936   0.43043065],bagging,20,100,2.569371814277141,25.3357216517
113,"[1.24063661e-01 4.00993720e-01 4.78404209e-17 4.74942619e-01
 2.15756232e-17]",SAA,20,200,2.4411683559976023,26.96970818283
114,[0.23801502 0.20831558 0.02485182 0.42158516 0.10723241],bagging,20,200,2.4629255594110644,26.868367604600003
115,"[9.00183775e-02 0.00000000e+00 5.80048162e-17 7.48188481e-01
 1.61793142e-01]",SAA,20,50,2.4595018424784127,27.720583645165
