,w_star,method,gamma,N,expected_return,mean_variance
78,"[6.28202898e-01 1.58915219e-02 6.72205347e-18 3.24045202e-01
 3.18603783e-02]",SAA,20,200,26.86700326949752,2.3507388588589
79,"[5.25022494e-01 9.43998935e-02 3.09869457e-17 2.94239407e-01
 8.63382061e-02]",Bagging,20,200,26.61460263311275,2.3789121778216047
80,"[6.16615864e-01 0.00000000e+00 4.21483595e-17 3.66543794e-01
 1.68403415e-02]",MLE,20,200,27.019515692289335,2.343768544100569
81,"[1.15661114e-01 7.65446734e-17 8.41340886e-17 7.96400162e-01
 8.79387241e-02]",SAA,20,50,27.987026677823113,2.4438560623559074
82,[0.20900844 0.00592509 0.00172637 0.6658731  0.11746699],Bagging,20,50,27.594066569229263,2.417160897691206
83,"[4.35819871e-02 0.00000000e+00 3.58220398e-16 7.23494442e-01
 2.32923571e-01]",MLE,20,50,27.519838222112533,2.4856899138533803
84,"[7.72397065e-01 4.96130914e-16 0.00000000e+00 2.27602935e-01
 1.00613962e-16]",SAA,20,100,26.69493954350359,2.3530663235672478
85,"[7.60662149e-01 2.40757225e-03 8.42116429e-17 2.32896477e-01
 4.03380181e-03]",Bagging,20,100,26.698591894393108,2.3530776659070107
86,"[5.89173621e-01 0.00000000e+00 1.17961196e-16 4.10826379e-01
 5.89805982e-17]",MLE,20,100,27.16582379395016,2.340229669500628
87,"[5.22466787e-01 1.58889828e-16 0.00000000e+00 3.65332062e-01
 1.12201151e-01]",SAA,20,200,26.83235517806166,2.365537477143464
88,"[4.84886107e-01 1.92706503e-02 5.01240373e-17 3.34187248e-01
 1.61655995e-01]",Bagging,20,200,26.639521570660122,2.383097843035909
89,"[3.63973603e-01 5.89805982e-17 2.05998413e-17 4.16412881e-01
 2.19613515e-01]",MLE,20,200,26.756327019972485,2.403291741923196
90,"[1.00000000e+00 0.00000000e+00 1.42247325e-16 0.00000000e+00
 3.12250226e-16]",SAA,20,50,26.110000000000017,2.409500000000004
91,"[8.75057630e-01 1.89181353e-16 1.16691332e-03 1.23775457e-01
 1.91221821e-16]",Bagging,20,50,26.43135861251706,2.3747525593101892
92,"[1.00000000e+00 2.28983499e-16 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",MLE,20,50,26.110000000000014,2.4095000000000026
93,"[7.17008497e-01 1.95156391e-17 9.10729825e-18 2.82991503e-01
 0.00000000e+00]",SAA,20,100,26.83728816337364,2.346119898787805
94,[0.63796043 0.04459963 0.0066642  0.29905954 0.01171619],Bagging,20,100,26.834424238513567,2.3625495482357146
95,"[6.40169024e-01 3.98986399e-17 6.93889390e-18 3.59830976e-01
 0.00000000e+00]",MLE,20,100,27.034765607923283,2.340882684269572
96,[0.68574746 0.         0.         0.31425254 0.        ],SAA,20,200,26.91762902491628,2.343372262275599
97,"[6.78138481e-01 7.13171133e-04 3.06964550e-17 3.11853586e-01
 9.29476150e-03]",Bagging,20,200,26.892882972161093,2.3451138693034803
98,"[6.59876544e-01 0.00000000e+00 3.46944695e-18 3.40123456e-01
 0.00000000e+00]",MLE,20,200,26.98411728268501,2.3417383794646964
99,"[1.00000000e+00 4.85722573e-17 0.00000000e+00 0.00000000e+00
 2.42861287e-17]",SAA,20,50,26.11,2.4094999999999995
100,[0.72595657 0.00171711 0.01440891 0.10607347 0.15184395],Bagging,20,50,26.12820546452317,2.4182651136140985
101,"[9.65793829e-01 0.00000000e+00 1.56125113e-17 5.03069808e-17
 3.42061710e-02]",MLE,20,50,26.043982089991474,2.4103909217423136
102,"[4.33529887e-01 2.28305872e-16 0.00000000e+00 5.66470113e-01
 1.26905864e-16]",SAA,20,100,27.565828190063403,2.352162778229398
103,"[4.18859805e-01 8.74866996e-03 7.96945868e-17 4.76227686e-01
 9.61638391e-02]",Bagging,20,100,27.140435141153255,2.370137785086414
104,"[4.20291006e-01 0.00000000e+00 2.01661604e-17 5.65245413e-01
 1.44635815e-02]",MLE,20,100,27.534765998802303,2.3559295925505843
